tone_group,stem,n,tf,idf,tf_idf,example_word,example_word_freq,doc_freq
hawkish,caesar,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,caesar,18,14
hawkish,cagliarini,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,cagliarini,15,11
hawkish,callum,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,callum,16,13
hawkish,cathol,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,catholic,21,14
hawkish,cbt,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,cbt,238,31
hawkish,cebra,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,cebra,13,11
hawkish,ceiop,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,ceiops,39,11
hawkish,chop,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,chopped,7,14
hawkish,christensen,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,christensen,38,21
hawkish,cie,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,cie,27,10
hawkish,cinema,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,cinema,15,15
hawkish,compatriot,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,compatriot,7,11
hawkish,contraven,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,contravene,5,19
hawkish,cull,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,culled,5,12
hawkish,debut,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,debut,21,25
hawkish,deng,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,deng,20,18
hawkish,domenico,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,domenico,11,11
hawkish,downhil,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,downhill,17,16
hawkish,embolden,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,emboldened,8,10
hawkish,esf,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,esfs,23,21
hawkish,ethiopia,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,ethiopia,10,10
hawkish,eurotow,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,eurotower,10,10
hawkish,exchangetrad,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,exchangetraded,11,12
hawkish,fait,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,fait,27,21
hawkish,fanfar,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,fanfare,10,11
hawkish,faultlin,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,faultlines,14,10
hawkish,feather,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,feathers,8,13
hawkish,felicit,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,felicitous,3,10
hawkish,feroc,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,ferocity,12,11
hawkish,fsc,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,fsc,44,24
hawkish,further,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,furtherance,15,15
hawkish,gerdesmei,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,gerdesmeier,21,14
hawkish,greenbook,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,greenbook,26,16
hawkish,groth,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,groth,28,26
hawkish,hairdress,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,hairdressers,14,15
hawkish,hebbel,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,hebbel,13,11
hawkish,hier,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,hier,16,10
hawkish,hunch,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,hunch,25,28
hawkish,ibm,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,ibm,30,23
hawkish,ibrd,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,ibrd,32,10
hawkish,icaew,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,icaew,18,11
hawkish,ignacio,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,ignacio,15,14
hawkish,im,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,ims,94,11
hawkish,indecis,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,indecision,11,18
