doc_id,hawkish_hits,dovish_hits,net_tone,tone_group
10006,0,2,-2,dovish
10017,0,8,-8,dovish
10025,0,3,-3,dovish
10035,0,3,-3,dovish
10043,0,2,-2,dovish
10046,0,3,-3,dovish
10050,0,2,-2,dovish
10055,0,4,-4,dovish
10058,0,6,-6,dovish
10061,8,0,8,hawkish
10065,0,16,-16,dovish
10070,0,3,-3,dovish
10072,0,6,-6,dovish
10088,0,2,-2,dovish
10091,0,4,-4,dovish
10095,0,4,-4,dovish
10105,0,3,-3,dovish
10106,0,3,-3,dovish
10107,0,2,-2,dovish
10108,0,4,-4,dovish
10109,0,12,-12,dovish
10118,0,3,-3,dovish
10122,0,3,-3,dovish
10123,0,3,-3,dovish
10129,4,0,4,hawkish
10133,0,2,-2,dovish
10134,0,4,-4,dovish
10159,0,6,-6,dovish
10165,0,2,-2,dovish
10166,0,4,-4,dovish
10168,4,0,4,hawkish
10179,0,4,-4,dovish
10181,0,4,-4,dovish
10208,3,0,3,hawkish
10219,2,0,2,hawkish
10246,2,0,2,hawkish
10258,0,4,-4,dovish
10263,2,0,2,hawkish
10279,0,2,-2,dovish
10286,0,2,-2,dovish
10296,0,4,-4,dovish
10302,0,2,-2,dovish
10334,0,2,-2,dovish
10355,0,6,-6,dovish
10358,8,0,8,hawkish
10370,0,2,-2,dovish
10383,2,0,2,hawkish
10384,0,2,-2,dovish
10386,0,5,-5,dovish
10387,5,0,5,hawkish
10395,0,4,-4,dovish
10398,5,0,5,hawkish
10403,0,2,-2,dovish
10413,0,12,-12,dovish
10422,6,0,6,hawkish
10425,2,0,2,hawkish
10433,0,10,-10,dovish
10505,0,3,-3,dovish
10509,0,2,-2,dovish
10514,13,0,13,hawkish
10528,0,4,-4,dovish
10539,0,5,-5,dovish
10542,6,0,6,hawkish
10547,0,3,-3,dovish
10563,0,3,-3,dovish
10571,0,2,-2,dovish
10574,7,0,7,hawkish
10575,0,5,-5,dovish
10583,0,2,-2,dovish
10586,0,2,-2,dovish
10603,0,2,-2,dovish
10609,4,0,4,hawkish
10617,0,5,-5,dovish
10656,0,2,-2,dovish
10657,2,0,2,hawkish
10673,0,13,-13,dovish
10695,0,2,-2,dovish
10701,0,2,-2,dovish
10704,0,3,-3,dovish
10710,3,0,3,hawkish
10722,0,2,-2,dovish
10727,2,0,2,hawkish
10735,7,0,7,hawkish
10738,0,2,-2,dovish
10745,16,0,16,hawkish
10762,0,3,-3,dovish
10774,0,2,-2,dovish
10777,2,0,2,hawkish
10782,0,2,-2,dovish
10800,0,3,-3,dovish
10801,0,6,-6,dovish
10817,0,2,-2,dovish
10823,3,0,3,hawkish
10840,0,4,-4,dovish
10851,0,2,-2,dovish
10853,3,0,3,hawkish
10859,0,2,-2,dovish
10861,0,3,-3,dovish
10870,0,15,-15,dovish
10873,0,8,-8,dovish
10877,3,0,3,hawkish
10878,0,5,-5,dovish
10879,0,2,-2,dovish
10880,0,7,-7,dovish
10881,0,12,-12,dovish
10887,0,8,-8,dovish
10890,0,3,-3,dovish
10894,0,7,-7,dovish
10896,0,2,-2,dovish
10908,0,3,-3,dovish
10922,5,0,5,hawkish
10940,0,12,-12,dovish
10948,0,4,-4,dovish
10951,0,4,-4,dovish
10952,0,10,-10,dovish
10953,0,6,-6,dovish
10958,0,4,-4,dovish
10959,5,0,5,hawkish
10964,0,2,-2,dovish
10970,0,4,-4,dovish
10971,0,2,-2,dovish
10979,0,3,-3,dovish
10980,0,2,-2,dovish
10983,0,3,-3,dovish
10986,0,11,-11,dovish
10989,0,6,-6,dovish
10994,0,7,-7,dovish
10996,0,7,-7,dovish
11011,0,13,-13,dovish
11018,0,2,-2,dovish
11025,0,7,-7,dovish
11028,0,5,-5,dovish
11029,0,3,-3,dovish
11037,0,2,-2,dovish
11041,0,6,-6,dovish
11042,0,2,-2,dovish
11052,0,3,-3,dovish
11054,0,5,-5,dovish
11065,3,0,3,hawkish
11073,2,0,2,hawkish
11087,5,0,5,hawkish
11107,0,7,-7,dovish
11110,0,2,-2,dovish
11132,0,3,-3,dovish
11151,3,0,3,hawkish
11153,3,0,3,hawkish
11154,2,0,2,hawkish
11163,0,5,-5,dovish
11176,0,2,-2,dovish
11179,0,3,-3,dovish
11210,0,2,-2,dovish
11219,3,0,3,hawkish
11234,0,2,-2,dovish
11240,0,4,-4,dovish
11246,2,0,2,hawkish
11247,0,4,-4,dovish
11250,3,0,3,hawkish
11251,0,4,-4,dovish
11255,0,8,-8,dovish
11257,5,0,5,hawkish
11270,0,2,-2,dovish
11274,0,2,-2,dovish
11287,3,0,3,hawkish
11290,0,5,-5,dovish
11295,0,2,-2,dovish
11303,0,3,-3,dovish
11304,0,2,-2,dovish
11305,0,2,-2,dovish
11327,0,2,-2,dovish
11331,2,0,2,hawkish
11332,0,4,-4,dovish
11336,0,3,-3,dovish
11340,0,4,-4,dovish
11346,0,3,-3,dovish
11349,0,8,-8,dovish
11360,0,4,-4,dovish
11365,0,5,-5,dovish
11367,0,4,-4,dovish
11368,2,0,2,hawkish
11391,0,2,-2,dovish
11394,0,3,-3,dovish
11398,0,3,-3,dovish
11402,0,5,-5,dovish
11403,0,6,-6,dovish
11406,0,2,-2,dovish
11411,0,11,-11,dovish
11418,2,0,2,hawkish
11419,0,4,-4,dovish
11431,8,0,8,hawkish
11433,0,6,-6,dovish
11438,5,0,5,hawkish
11439,0,7,-7,dovish
11440,0,4,-4,dovish
11444,2,0,2,hawkish
11455,0,7,-7,dovish
11460,0,3,-3,dovish
11461,3,0,3,hawkish
11464,0,3,-3,dovish
11468,0,26,-26,dovish
11470,0,2,-2,dovish
11482,2,0,2,hawkish
11485,0,8,-8,dovish
11487,0,4,-4,dovish
11496,0,23,-23,dovish
