tone_group,stem,n,tf,idf,tf_idf,example_word,example_word_freq,doc_freq
dovish,icaap,39,1.8247842192660717e-5,0.6931471805599453,1.2648440367145586e-5,icaap,56,23
dovish,bls,38,1.7779948803105314e-5,0.6931471805599453,1.2324121383372623e-5,bls,241,92
dovish,pboc,38,1.7779948803105314e-5,0.6931471805599453,1.2324121383372623e-5,pboc,199,50
dovish,sdls,38,1.7779948803105314e-5,0.6931471805599453,1.2324121383372623e-5,sdls,70,12
dovish,wire,38,1.7779948803105314e-5,0.6931471805599453,1.2324121383372623e-5,wire,128,143
dovish,alesina,37,1.731205541354991e-5,0.6931471805599453,1.1999802399599658e-5,alesina,141,69
dovish,almighti,37,1.731205541354991e-5,0.6931471805599453,1.1999802399599658e-5,almighty,168,121
dovish,tantrum,37,1.731205541354991e-5,0.6931471805599453,1.1999802399599658e-5,tantrum,229,152
dovish,warranti,37,1.731205541354991e-5,0.6931471805599453,1.1999802399599658e-5,warranties,36,21
dovish,tff,36,1.684416202399451e-5,0.6931471805599453,1.1675483415826696e-5,tff,184,16
dovish,ag,35,1.6376268634439106e-5,0.6931471805599453,1.1351164432053731e-5,ags,75,19
dovish,gramlich,35,1.6376268634439106e-5,0.6931471805599453,1.1351164432053731e-5,gramlich,145,90
dovish,lfs,35,1.6376268634439106e-5,0.6931471805599453,1.1351164432053731e-5,lfs,284,78
dovish,matern,35,1.6376268634439106e-5,0.6931471805599453,1.1351164432053731e-5,maternity,41,26
dovish,tpid,35,1.6376268634439106e-5,0.6931471805599453,1.1351164432053731e-5,tpid,80,20
dovish,barro,34,1.5908375244883703e-5,0.6931471805599453,1.1026845448280768e-5,barro,256,128
dovish,drts,34,1.5908375244883703e-5,0.6931471805599453,1.1026845448280768e-5,drts,53,14
dovish,fdicia,34,1.5908375244883703e-5,0.6931471805599453,1.1026845448280768e-5,fdicia,100,39
dovish,ocean,34,1.5908375244883703e-5,0.6931471805599453,1.1026845448280768e-5,ocean,121,103
dovish,slice,34,1.5908375244883703e-5,0.6931471805599453,1.1026845448280768e-5,slice,68,106
dovish,vii,34,1.5908375244883703e-5,0.6931471805599453,1.1026845448280768e-5,vii,217,184
dovish,java,33,1.54404818553283e-5,0.6931471805599453,1.0702526464507804e-5,java,113,35
dovish,pes,33,1.54404818553283e-5,0.6931471805599453,1.0702526464507804e-5,pes,143,10
dovish,rhs,33,1.54404818553283e-5,0.6931471805599453,1.0702526464507804e-5,rhs,431,195
dovish,tribun,33,1.54404818553283e-5,0.6931471805599453,1.0702526464507804e-5,tribunals,64,57
dovish,vat,33,1.54404818553283e-5,0.6931471805599453,1.0702526464507804e-5,vat,437,184
dovish,yoy,33,1.54404818553283e-5,0.6931471805599453,1.0702526464507804e-5,yoy,501,91
dovish,aec,32,1.4972588465772896e-5,0.6931471805599453,1.037820748073484e-5,aec,64,18
dovish,eco,32,1.4972588465772896e-5,0.6931471805599453,1.037820748073484e-5,eco,189,113
dovish,gig,32,1.4972588465772896e-5,0.6931471805599453,1.037820748073484e-5,gig,60,22
dovish,kuroda,32,1.4972588465772896e-5,0.6931471805599453,1.037820748073484e-5,kuroda,345,205
dovish,sarfaesi,32,1.4972588465772896e-5,0.6931471805599453,1.037820748073484e-5,sarfaesi,54,30
